feed,views,likes,replies,reposts,isReply,isRepost,isQuote,hasImage,hasVideo,verified,textLen,ageMin
forYou,300,11,14,1,0,0,0,0,0,1,46,60
forYou,100,3,0,0,0,0,0,1,0,1,259,0
forYou,394000,1204,347,206,0,0,0,1,1,1,29,0
forYou,401000,2017,288,325,0,0,0,1,1,1,274,360
forYou,56700,912,50,110,0,0,0,0,0,1,146,60
forYou,2400,2,0,0,0,0,0,0,0,1,93,120
forYou,400,11,0,1,0,0,0,0,0,1,280,660
forYou,9600,56,28,1,0,0,0,0,0,1,278,540
forYou,1500,6,6,0,0,0,0,0,0,1,136,0
forYou,200,3,3,0,0,0,0,0,0,1,278,300
forYou,1500,103,63,12,0,0,0,1,0,1,276,1140
forYou,2500,16,4,0,0,0,0,1,0,1,277,720
forYou,1300,113,61,24,0,0,0,1,0,1,196,1200
forYou,5600,49,24,4,0,0,0,0,0,1,79,1080
forYou,500,23,5,0,0,0,1,0,0,1,230,780
forYou,349200,2267,94,154,0,0,0,1,0,1,279,720
forYou,2500,26,3,3,0,0,1,1,0,1,280,660
forYou,1900,5,5,2,0,0,0,1,0,1,136,240
forYou,4600,89,6,13,0,0,0,1,0,1,95,120
forYou,71700,1032,122,65,0,0,0,1,0,1,277,120
forYou,4800,83,11,7,0,0,0,0,0,1,152,60
forYou,2100,47,20,8,0,0,0,1,0,1,19,300
forYou,245000,3022,127,313,0,0,0,0,0,1,39,120
forYou,2203300,3332,308,311,0,0,0,0,0,1,135,300
forYou,362500,3625,155,438,0,0,0,1,1,1,280,360
forYou,100,6,5,1,0,0,0,0,0,1,151,0
forYou,5700,186,78,8,0,0,0,1,0,1,251,540
forYou,43400,273,59,48,0,0,0,0,0,1,73,120
forYou,3700,2,1,0,0,0,0,0,0,1,93,180
forYou,464300,1086,267,182,0,0,0,0,0,1,8,60
forYou,39800,586,102,22,0,0,0,0,0,1,69,540
forYou,89100,715,49,83,0,0,0,1,1,1,270,180
forYou,200,3,0,1,0,0,0,0,0,1,280,300
forYou,500,38,23,4,0,0,0,1,0,1,274,240
forYou,260500,5135,171,284,0,0,0,1,0,1,120,360
forYou,675400,8007,196,524,0,0,0,1,0,1,49,240
forYou,500,14,3,0,0,0,0,1,0,1,274,360
forYou,13500,261,57,4,0,0,0,1,0,1,278,480
forYou,1400,18,41,0,0,0,0,0,0,1,43,600
forYou,19300,240,124,9,0,0,0,0,0,1,164,780
forYou,1100,13,1,1,0,0,0,0,0,1,32,60
forYou,300,7,4,0,0,0,0,0,0,1,150,180
forYou,319800,2485,107,312,0,0,0,1,0,1,277,1260
forYou,2200,52,11,9,0,0,0,1,1,1,274,840
forYou,82600,1090,86,42,0,0,0,0,0,1,166,480
forYou,200,23,5,1,0,0,0,0,0,1,119,120
forYou,1600,16,2,0,0,0,0,1,0,1,276,600
forYou,2700,22,5,0,0,0,0,1,0,1,274,540
forYou,183200,1099,87,129,0,0,0,0,0,1,102,300
forYou,112800,12828,57,648,0,0,0,1,0,1,0,540
forYou,879800,12161,89,742,0,1,0,1,1,0,145,300
forYou,100,5,3,1,0,0,0,1,1,1,279,120
forYou,217300,679,169,147,0,0,0,1,1,0,277,720
forYou,39700,794,93,36,0,0,0,1,0,1,277,600
forYou,600,64,30,20,0,0,0,0,0,1,215,600
forYou,3500,98,10,1,0,0,0,1,0,1,276,240
forYou,6600,76,68,4,0,0,0,1,0,1,42,480
forYou,17328600,221311,7851,9350,0,0,1,1,1,1,30,2580
forYou,500,10,11,1,0,0,0,0,0,1,99,300
forYou,17400,136,15,4,0,0,0,1,0,1,163,60
forYou,11100,90,15,17,0,1,0,1,1,1,273,240
forYou,62300,223,36,2,0,0,0,0,0,1,102,420
forYou,100700,943,639,22,0,0,0,1,0,1,41,1440
